MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	1024.0137	Sec	11/6/2020 1:27:14 PM
Time	Station 1 Force	Station 1 Displacement
Sec	N	mm
649.01074	36.834557	0.0061816247
650.01074	38.263111	0.0066133807
651.01074	35.567947	0.0059153633
652.01074	38.218708	0.0066391416
653.01074	37.781033	0.0062162327
654.01074	35.769127	0.0048811524
655.01074	33.857239	0.0036546453
656.01074	34.80331	0.0078427503
657.01074	35.343105	0.0057332153
658.01074	36.026718	0.003853512
659.01074	37.421318	0.0037025244
660.01074	33.998692	0.0053551928
661.01074	38.733185	0.0057082349
662.01074	37.902191	0.0058008702
663.01074	37.677151	0.0059330575
664.01074	38.855553	0.0054787281
665.01074	34.684158	0.0064769648
666.01074	36.203186	0.0043760166
667.01074	34.948784	0.0057647005
668.01074	37.120731	0.0058086766
669.01074	39.622952	0.004609752
670.01074	37.664295	0.0071184509
671.01074	33.390228	0.0064074881
672.01074	32.755642	0.0069368235
673.01074	35.072407	0.0065222415
674.01074	34.038525	0.0050471672
675.01074	34.571037	0.0049542719
676.01074	36.393265	0.0066378405
677.01074	35.92907	0.0065884003
678.01074	32.806076	0.0051841689
679.01074	36.233124	0.0058006099
680.01074	34.672306	0.0041480716
681.01074	31.70488	0.0046547684
682.01074	39.049248	0.0048226048
683.01074	36.48288	0.0052487012
684.01074	38.039078	0.0074976445
685.01074	33.491093	0.0044601304
686.01074	35.907169	0.006342175
687.01074	37.675945	0.0048572128
688.01074	36.425411	0.006051519
689.01074	36.459774	0.005083662
690.01074	37.534893	0.0051474138
691.01074	34.696617	0.0059872465
692.01074	35.494808	0.0061636698
693.01074	36.276321	0.0055169794
694.01074	36.490715	0.0048244265
695.01074	38.923061	0.006433249
696.01074	35.840458	0.0052192975
697.01074	35.973473	0.0062295035
698.01074	34.096394	0.0062742596
699.01074	33.832722	0.0063478998
700.01074	36.944466	0.0060130074
701.01074	33.290966	0.0060491767
702.01074	33.081753	0.0073932996
703.01074	34.312992	0.0047143567
704.01074	36.300434	0.0060304417
705.01074	34.508751	0.0054753455
706.01074	36.248596	0.0072530457
707.01074	37.202709	0.0052632731
708.01074	35.724522	0.0060249772
709.01074	38.334694	0.0058464073
710.01074	33.20256	0.0056197629
711.01074	31.108021	0.0066243093
712.01074	37.233852	0.0057462258
713.01074	35.448997	0.0069420277
714.01074	33.406498	0.0054128948
715.01074	36.999317	0.0067697675
716.01074	38.625637	0.0047674398
717.01074	34.411449	0.0060853465
718.01074	34.966667	0.0046584113
719.01074	37.489834	0.007083843
720.01074	37.768375	0.0047687409
721.01074	34.307369	0.0045871134
722.01074	35.852314	0.0054696207
723.01074	31.194019	0.003914922
724.01074	38.376488	0.0048353551
725.01074	35.852917	0.004886617
726.01074	35.563728	0.0060564629
727.01074	36.04179	0.0055169794
728.01074	35.515102	0.0060320031
729.01074	34.996452	0.0054449006
730.01074	32.693352	0.0046880753
731.01074	31.140171	0.0045452192
732.01074	40.046562	0.0053840112
733.01074	34.213135	0.005163807
734.01074	35.473106	0.0082002804
735.01074	32.959183	0.0064137331
736.01074	36.671402	0.0047369953
737.01074	32.791809	0.0049810736
738.01074	35.787613	0.0045975219
739.01074	32.494984	0.0045543266
740.01074	39.456181	0.008098538
741.01074	34.866001	0.004185542
742.01074	38.011948	0.0054633757
743.01074	33.541729	0.0050505502
744.01074	33.863266	0.0053142747
745.01074	38.917637	0.0074461224
746.01074	33.362297	0.0060910708
747.01074	33.130024	0.0062674945
748.01074	38.053341	0.0042542377
749.01074	37.138409	0.0052036848
750.01074	34.909	0.0054360535
751.01074	35.782391	0.004667779
752.01074	34.302746	0.0050857435
753.01074	35.28524	0.0044077625
754.01074	34.213135	0.0032223689
755.01074	35.674492	0.0050039724
756.01074	37.09079	0.0047645778
757.01074	33.841164	0.0055359746
758.01074	36.721031	0.0058656628
759.01074	35.093704	0.0062347078
760.01074	33.76722	0.0040234299
761.01074	32.669041	0.0050336365
762.01074	33.679817	0.0059322771
763.01074	35.516109	0.0057295719
764.01074	32.776337	0.0037753836
765.01074	37.175579	0.0051245154
766.01074	32.37925	0.0047804504
